n=6=2 * 3, d=8
n=10=2 * 5, d=12
n=14=2 * 7, d=16
n=22=2 * 11, d=8
n=22=2 * 11, d=24
n=26=2 * 13, d=28
n=30=2 * 3 * 5, d=12
n=30=2 * 3 * 5, d=20
n=30=2 * 3 * 5, d=24
n=34=2 * 17, d=12
n=34=2 * 17, d=36
n=38=2 * 19, d=8
n=38=2 * 19, d=40
n=42=2 * 3 * 7, d=8
n=42=2 * 3 * 7, d=24
n=42=2 * 3 * 7, d=16
n=46=2 * 23, d=16
n=46=2 * 23, d=48
n=58=2 * 29, d=12
n=58=2 * 29, d=20
n=58=2 * 29, d=60
n=62=2 * 31, d=64
n=66=2 * 3 * 11, d=8
n=66=2 * 3 * 11, d=24
n=70=2 * 5 * 7, d=20
n=70=2 * 5 * 7, d=16
n=74=2 * 37, d=76
n=78=2 * 3 * 13, d=20
n=78=2 * 3 * 13, d=28
n=82=2 * 41, d=12
n=82=2 * 41, d=28
n=82=2 * 41, d=84
n=86=2 * 43, d=8
n=86=2 * 43, d=88
n=94=2 * 47, d=32
n=94=2 * 47, d=96
n=102=2 * 3 * 17, d=12
n=102=2 * 3 * 17, d=20
n=102=2 * 3 * 17, d=36
n=105=3 * 5 * 7, d=24
n=106=2 * 53, d=12
n=106=2 * 53, d=36
n=106=2 * 53, d=108
n=110=2 * 5 * 11, d=12
n=110=2 * 5 * 11, d=24
n=114=2 * 3 * 19, d=8
n=114=2 * 3 * 19, d=40
n=118=2 * 59, d=8
n=118=2 * 59, d=24
n=118=2 * 59, d=40
n=118=2 * 59, d=120
n=122=2 * 61, d=124
n=130=2 * 5 * 13, d=28
n=134=2 * 67, d=8
n=134=2 * 67, d=136
n=138=2 * 3 * 23, d=8
n=138=2 * 3 * 23, d=16
n=138=2 * 3 * 23, d=48
n=142=2 * 71, d=16
n=142=2 * 71, d=48
n=142=2 * 71, d=144
n=146=2 * 73, d=148
n=154=2 * 7 * 11, d=8
n=154=2 * 7 * 11, d=24
n=154=2 * 7 * 11, d=16
n=154=2 * 7 * 11, d=30
n=158=2 * 79, d=32
n=158=2 * 79, d=160
n=165=3 * 5 * 11, d=20
n=166=2 * 83, d=8
n=166=2 * 83, d=24
n=166=2 * 83, d=56
n=166=2 * 83, d=168
n=170=2 * 5 * 17, d=12
n=170=2 * 5 * 17, d=24
n=170=2 * 5 * 17, d=36
n=174=2 * 3 * 29, d=12
n=174=2 * 3 * 29, d=20
n=174=2 * 3 * 29, d=24
n=174=2 * 3 * 29, d=60
n=178=2 * 89, d=12
n=178=2 * 89, d=20
n=178=2 * 89, d=36
n=178=2 * 89, d=60
n=178=2 * 89, d=180
n=182=2 * 7 * 13, d=20
n=182=2 * 7 * 13, d=16
n=182=2 * 7 * 13, d=28
n=186=2 * 3 * 31, d=8
n=186=2 * 3 * 31, d=24
n=186=2 * 3 * 31, d=64
n=190=2 * 5 * 19, d=40
n=194=2 * 97, d=28
n=194=2 * 97, d=196
n=195=3 * 5 * 13, d=24
n=202=2 * 101, d=12
n=202=2 * 101, d=68
n=202=2 * 101, d=204
n=206=2 * 103, d=16
n=206=2 * 103, d=208
n=210=2 * 3 * 5 * 7, d=20
n=210=2 * 3 * 5 * 7, d=24
n=214=2 * 107, d=8
n=214=2 * 107, d=24
n=214=2 * 107, d=72
n=214=2 * 107, d=216
n=218=2 * 109, d=20
n=218=2 * 109, d=44
n=218=2 * 109, d=220
n=222=2 * 3 * 37, d=20
n=222=2 * 3 * 37, d=76
n=226=2 * 113, d=12
n=226=2 * 113, d=76
n=226=2 * 113, d=228
n=230=2 * 5 * 23, d=12
n=230=2 * 5 * 23, d=20
n=230=2 * 5 * 23, d=16
n=230=2 * 5 * 23, d=48
n=238=2 * 7 * 17, d=20
n=238=2 * 7 * 17, d=36
n=246=2 * 3 * 41, d=12
n=246=2 * 3 * 41, d=28
n=246=2 * 3 * 41, d=84
n=254=2 * 127, d=256
n=258=2 * 3 * 43, d=8
n=258=2 * 3 * 43, d=88
n=262=2 * 131, d=8
n=262=2 * 131, d=24
n=262=2 * 131, d=88
n=262=2 * 131, d=264
n=266=2 * 7 * 19, d=8
n=266=2 * 7 * 19, d=24
n=266=2 * 7 * 19, d=16
n=266=2 * 7 * 19, d=40
n=273=3 * 7 * 13, d=24
n=274=2 * 137, d=12
n=274=2 * 137, d=92
n=274=2 * 137, d=276
n=278=2 * 139, d=8
n=278=2 * 139, d=40
n=278=2 * 139, d=56
n=278=2 * 139, d=280
n=282=2 * 3 * 47, d=8
n=282=2 * 3 * 47, d=32
n=282=2 * 3 * 47, d=96
n=286=2 * 11 * 13, d=30
n=286=2 * 11 * 13, d=28
n=290=2 * 5 * 29, d=12
n=290=2 * 5 * 29, d=20
n=290=2 * 5 * 29, d=60
n=298=2 * 149, d=12
n=298=2 * 149, d=20
n=298=2 * 149, d=60
n=298=2 * 149, d=100
n=298=2 * 149, d=300
n=302=2 * 151, d=16
n=302=2 * 151, d=304
n=310=2 * 5 * 31, d=52
n=310=2 * 5 * 31, d=64
n=314=2 * 157, d=316
n=318=2 * 3 * 53, d=12
n=318=2 * 3 * 53, d=20
n=318=2 * 3 * 53, d=24
n=318=2 * 3 * 53, d=36
n=318=2 * 3 * 53, d=108
n=322=2 * 7 * 23, d=16
n=322=2 * 7 * 23, d=48
n=326=2 * 163, d=8
n=326=2 * 163, d=328
n=330=2 * 3 * 5 * 11, d=12
n=330=2 * 3 * 5 * 11, d=20
n=330=2 * 3 * 5 * 11, d=24
n=330=2 * 3 * 5 * 11, d=60
n=334=2 * 167, d=16
n=334=2 * 167, d=48
n=334=2 * 167, d=112
n=334=2 * 167, d=336
n=346=2 * 173, d=12
n=346=2 * 173, d=116
n=346=2 * 173, d=348
n=354=2 * 3 * 59, d=8
n=354=2 * 3 * 59, d=24
n=354=2 * 3 * 59, d=40
n=354=2 * 3 * 59, d=120
n=358=2 * 179, d=8
n=358=2 * 179, d=24
n=358=2 * 179, d=40
n=358=2 * 179, d=72
n=358=2 * 179, d=120
n=358=2 * 179, d=360
n=362=2 * 181, d=28
n=362=2 * 181, d=52
n=362=2 * 181, d=364
n=366=2 * 3 * 61, d=124
n=370=2 * 5 * 37, d=76
n=374=2 * 11 * 17, d=12
n=374=2 * 11 * 17, d=24
n=374=2 * 11 * 17, d=36
n=382=2 * 191, d=128
n=382=2 * 191, d=384
n=385=5 * 7 * 11, d=20
n=386=2 * 193, d=388
n=390=2 * 3 * 5 * 13, d=20
n=390=2 * 3 * 5 * 13, d=24
n=390=2 * 3 * 5 * 13, d=28
n=394=2 * 197, d=12
n=394=2 * 197, d=36
n=394=2 * 197, d=44
n=394=2 * 197, d=132
n=394=2 * 197, d=396
n=398=2 * 199, d=16
n=398=2 * 199, d=80
n=398=2 * 199, d=400
n=402=2 * 3 * 67, d=8
n=402=2 * 3 * 67, d=136
n=406=2 * 7 * 29, d=20
n=406=2 * 7 * 29, d=16
n=406=2 * 7 * 29, d=60
n=410=2 * 5 * 41, d=12
n=410=2 * 5 * 41, d=24
n=410=2 * 5 * 41, d=28
n=410=2 * 5 * 41, d=84
n=418=2 * 11 * 19, d=8
n=418=2 * 11 * 19, d=24
n=418=2 * 11 * 19, d=40
n=422=2 * 211, d=8
n=422=2 * 211, d=424
n=426=2 * 3 * 71, d=8
n=426=2 * 3 * 71, d=16
n=426=2 * 3 * 71, d=48
n=426=2 * 3 * 71, d=144
n=430=2 * 5 * 43, d=20
n=430=2 * 5 * 43, d=88
n=434=2 * 7 * 31, d=16
n=434=2 * 7 * 31, d=48
n=434=2 * 7 * 31, d=64
n=438=2 * 3 * 73, d=20
n=438=2 * 3 * 73, d=148
n=442=2 * 13 * 17, d=28
n=442=2 * 13 * 17, d=36
n=446=2 * 223, d=64
n=446=2 * 223, d=448
n=454=2 * 227, d=8
n=454=2 * 227, d=24
n=454=2 * 227, d=152
n=454=2 * 227, d=456
n=458=2 * 229, d=20
n=458=2 * 229, d=92
n=458=2 * 229, d=460
n=462=2 * 3 * 7 * 11, d=8
n=462=2 * 3 * 7 * 11, d=24
n=462=2 * 3 * 7 * 11, d=16
n=462=2 * 3 * 7 * 11, d=30
n=465=3 * 5 * 31, d=20
n=465=3 * 5 * 31, d=24
n=466=2 * 233, d=12
n=466=2 * 233, d=36
n=466=2 * 233, d=52
n=466=2 * 233, d=156
n=466=2 * 233, d=468
n=470=2 * 5 * 47, d=12
n=470=2 * 5 * 47, d=20
n=470=2 * 5 * 47, d=32
n=470=2 * 5 * 47, d=52
n=470=2 * 5 * 47, d=96
n=474=2 * 3 * 79, d=8
n=474=2 * 3 * 79, d=24
n=474=2 * 3 * 79, d=32
n=474=2 * 3 * 79, d=160
n=478=2 * 239, d=32
n=478=2 * 239, d=96
n=478=2 * 239, d=160
n=478=2 * 239, d=480
n=482=2 * 241, d=44
n=482=2 * 241, d=484
n=494=2 * 13 * 19, d=28
n=494=2 * 13 * 19, d=40
n=498=2 * 3 * 83, d=8
n=498=2 * 3 * 83, d=24
n=498=2 * 3 * 83, d=56
n=498=2 * 3 * 83, d=168
n=502=2 * 251, d=8
n=502=2 * 251, d=24
n=502=2 * 251, d=56
n=502=2 * 251, d=72
n=502=2 * 251, d=168
n=502=2 * 251, d=504
n=506=2 * 11 * 23, d=8
n=506=2 * 11 * 23, d=24
n=506=2 * 11 * 23, d=16
n=506=2 * 11 * 23, d=48
n=510=2 * 3 * 5 * 17, d=12
n=510=2 * 3 * 5 * 17, d=20
n=510=2 * 3 * 5 * 17, d=24
n=510=2 * 3 * 5 * 17, d=36
n=514=2 * 257, d=12
n=514=2 * 257, d=172
n=514=2 * 257, d=516
n=518=2 * 7 * 37, d=20
n=518=2 * 7 * 37, d=16
n=518=2 * 7 * 37, d=76
n=526=2 * 263, d=16
n=526=2 * 263, d=48
n=526=2 * 263, d=176
n=526=2 * 263, d=528
